Temperature    Energy         Energy2        Magnetization  Magnetization2 Heat Capacity  Susceptibility 
3.28           -1.3866667     2.7733333      0.79888889     0.74611111     0.31621389     0.13157031     
3.29           -1.2977778     2.6488889      0.75777778     0.70666667     0.35648663     0.16102068     
3.3            -1.3466667     2.7111111      0.78           0.72777778     0.32969697     0.14470034     
3.31           -1.3066667     2.6488889      0.77           0.71388889     0.34373951     0.14621014     
3.32           -1.3466667     2.7644444      0.78888889     0.73555556     0.34509121     0.13639744     
3.33           -1.2488889     2.5333333      0.76           0.69444444     0.35120161     0.14035369     
3.34           -1.2088889     2.4533333      0.74666667     0.67777778     0.35566746     0.14403194     
3.35           -1.2933333     2.6577778      0.77888889     0.71722222     0.35110418     0.13200516     
3.36           -1.2           2.4355556      0.72444444     0.66444444     0.35273369     0.16621987     
3.37           -1.3111111     2.7288889      0.78111111     0.725          0.35568739     0.13633879     
3.38           -1.3333333     2.6844444      0.78           0.72444444     0.3174492      0.1373307      
3.39           -1.1244444     2.3377778      0.71222222     0.64277778     0.37361404     0.1599024      
3.4            -1.1955556     2.4622222      0.73           0.66833333     0.35739416     0.15933333     
3.41           -1.2488889     2.5511111      0.74777778     0.68944444     0.34103169     0.15281271     
3.42           -1.24          2.5155556      0.74333333     0.68388889     0.33444669     0.15361923     
3.43           -1.2444444     2.5244444      0.74444444     0.68555556     0.33176737     0.1531872      
3.44           -1.2622222     2.56           0.75888889     0.69722222     0.3267966      0.141058       
3.45           -1.32          2.6933333      0.78444444     0.72555556     0.31957432     0.12777098     
3.46           -1.3111111     2.6577778      0.76111111     0.71055556     0.31366415     0.15175194     
3.47           -1.2044444     2.4622222      0.73666667     0.67277778     0.33603329     0.14997118     
3.48           -1.2088889     2.4888889      0.73777778     0.67555556     0.33936998     0.15085001     
3.49           -1.1244444     2.3911111      0.72444444     0.65222222     0.37002514     0.14602002     
3.5            -1.3066667     2.6666667      0.77444444     0.71722222     0.31323719     0.13423774     
3.51           -1.28          2.6133333      0.76           0.70333333     0.31653423     0.14328585     
3.52           -1.2533333     2.6311111      0.76111111     0.70166667     0.3422865      0.13906425     
3.53           -1.32          2.64           0.76111111     0.71055556     0.28813328     0.1487427      
3.54           -1.2622222     2.5244444      0.75           0.69055556     0.29724521     0.14469554     
3.55           -1.1333333     2.3022222      0.72111111     0.64611111     0.32303996     0.14209564     
3.56           -1.1688889     2.4266667      0.74777778     0.67166667     0.33466905     0.12639895     
3.57           -1.3066667     2.6666667      0.77333333     0.71666667     0.30107381     0.13291005     
3.58           -1.16          2.4088889      0.71333333     0.65222222     0.33185259     0.16019863     
3.59           -1.1377778     2.3111111      0.71888889     0.64611111     0.31550743     0.14407786     
3.6            -1.0577778     2.1688889      0.69888889     0.61722222     0.32407255     0.14308505     
3.61           -1.16          2.3555556      0.72666667     0.65555556     0.30999012     0.14128655     
3.62           -1.1155556     2.2844444      0.72222222     0.64333333     0.3174446      0.13450651     
3.63           -1.1111111     2.3111111      0.70555556     0.63611111     0.32679711     0.15239942     
3.64           -1.2044444     2.4444444      0.72888889     0.66777778     0.30001148     0.14999864     
3.65           -1.1511111     2.4088889      0.71666667     0.65277778     0.32541403     0.15251142     
3.66           -1.08          2.2133333      0.67111111     0.60888889     0.31262006     0.17322269     
3.67           -1.32          2.6933333      0.78           0.72333333     0.28240861     0.12526794     
3.68           -1.2311111     2.4977778      0.74555556     0.68277778     0.29009428     0.13796162     
3.69           -1.1511111     2.3555556      0.72666667     0.65444444     0.30272949     0.13701897     
3.7            -1.1911111     2.4355556      0.72777778     0.665          0.29709565     0.14631298     
3.71           -1.0844444     2.2577778      0.71555556     0.63444444     0.31437087     0.13199428     
3.72           -1.1244444     2.2666667      0.70666667     0.63555556     0.28971308     0.14642772     
3.73           -1.2311111     2.5688889      0.74333333     0.68611111     0.30281374     0.14323503     
3.74           -1.1955556     2.48           0.72666667     0.66777778     0.30045095     0.14944742     
3.75           -1.1822222     2.3644444      0.71444444     0.65277778     0.27499948     0.15183671     
3.76           -1.1333333     2.3022222      0.71111111     0.64111111     0.28796338     0.1440767      
3.77           -1.1422222     2.32           0.70555556     0.64055556     0.28574841     0.15145561     
3.78           -1.1422222     2.3733333      0.72666667     0.65444444     0.29916904     0.13375661     
3.79           -1.0844444     2.2044444      0.69333333     0.62           0.28638751     0.14700674     
3.8            -1.2222222     2.48           0.75333333     0.68444444     0.27317807     0.12308772     
3.81           -1.2177778     2.4888889      0.74222222     0.67888889     0.27718359     0.13437802     
3.82           -1.2266667     2.4888889      0.74444444     0.68111111     0.26977818     0.1328938      
3.83           -1.1822222     2.5422222      0.73888889     0.67611111     0.3121087      0.13593141     
3.84           -1.16          2.3555556      0.72333333     0.65388889     0.27396798     0.13612269     
3.85           -1.0933333     2.2577778      0.71           0.63277778     0.28669927     0.1336912      
3.86           -1.2577778     2.5688889      0.74666667     0.69111111     0.2649424      0.1384456      
3.87           -0.94222222    1.9733333      0.64           0.56111111     0.28992665     0.15660063     
3.88           -1.1111111     2.2933333      0.69777778     0.63111111     0.2813172      0.14867761     
3.89           -1.0222222     2.1688889      0.67888889     0.60277778     0.29710367     0.1458999      
3.9            -1.1066667     2.2844444      0.70222222     0.63222222     0.27869384     0.142673       
3.91           -1.0311111     2.08           0.66555556     0.59166667     0.26603957     0.15212529     
3.92           -1.1955556     2.4444444      0.74666667     0.67555556     0.26423661     0.12045351     
3.93           -1.1066667     2.2844444      0.70111111     0.63166667     0.27445521     0.14260547     
3.94           -1.0666667     2.2222222      0.68888889     0.61666667     0.27943117     0.14426271     
3.95           -1.0755556     2.2755556      0.70888889     0.63111111     0.28680937     0.13021535     
3.96           -1.1555556     2.3822222      0.72777778     0.65722222     0.26704254     0.12885023     
3.97           -1.0222222     2.1688889      0.67444444     0.60055556     0.28525036     0.14678111     
3.98           -1.0933333     2.3288889      0.71222222     0.63833333     0.28623295     0.1317315      
3.99           -1.0844444     2.2933333      0.70444444     0.63111111     0.28073029     0.13520715     
4              -1.0755556     2.1511111      0.7            0.61888889     0.24857284     0.12888889     
4.01           -1.0755556     2.2577778      0.70333333     0.62722222     0.27386845     0.13221391     
4.02           -1.1022222     2.2755556      0.7            0.63           0.26253353     0.13930348     
4.03           -1.0977778     2.2488889      0.70333333     0.62944444     0.25707266     0.13376344     
4.04           -1.0355556     2.1422222      0.68888889     0.60777778     0.26219168     0.13189097     
4.05           -1.0622222     2.2133333      0.70111111     0.62166667     0.26459803     0.12850358     
4.06           -1.2222222     2.5155556      0.75444444     0.68722222     0.24793817     0.11629143     
4.07           -1.1288889     2.3111111      0.70333333     0.63722222     0.25034162     0.14009282     
4.08           -0.96888889    2.0088889      0.67444444     0.58388889     0.25714706     0.1264839      
4.09           -1.0133333     2.08           0.65222222     0.58277778     0.25182909     0.15392073     
4.1            -1.0088889     2.1066667      0.66222222     0.58888889     0.25908623     0.14668353     
4.11           -1.0666667     2.2222222      0.69666667     0.62055556     0.25679328     0.13159232     
4.12           -1.0355556     2.1777778      0.68666667     0.60888889     0.26048696     0.13337648     
4.13           -1.1422222     2.3377778      0.70333333     0.64055556     0.2422729      0.14128598     
4.14           -1.0177778     2.1244444      0.67333333     0.59666667     0.2540486      0.13844337     
4.15           -0.98666667    2.08           0.66666667     0.58666667     0.25698682     0.13708166     
4.16           -0.99555556    2.1155556      0.67333333     0.59333333     0.25989846     0.13457265     
4.17           -1.0666667     2.1511111      0.68888889     0.61222222     0.23309889     0.13204251     
4.18           -1.0266667     2.1777778      0.68111111     0.605          0.25725907     0.13501211     
4.19           -1.0444444     2.2133333      0.68888889     0.61333333     0.25574453     0.13247297     
4.2            -1.0133333     2.0622222      0.66444444     0.58777778     0.23477954     0.1393251      
4.21           -0.99555556    2.0622222      0.66888889     0.58777778     0.24172542     0.13336383     
4.22           -1.0577778     2.2755556      0.69           0.61944444     0.25980138     0.13587151     
